Event Location,Event Description,Response,Energy,Location,Question
"0,104",Let's get that Tube. Move 3 places,0,0,"0,3",0
"0,107",We ran too much and lost energy,0,-5,"0,0",0
"0,126","We traveled too much, get some Bubble & squeak",0,5,"0,0",0
"150,104",Let's get that Jota. Move 3 places,0,0,"0,3",0
"150,107",We ran too much and lost energy,0,-5,"0,0",0
"150,126","We traveled too much, get some Bubble & squeak",0,5,"0,0",0
"0,137",We might find a gift soon,0,0,"0,0",0
"150,137",We might find a gift soon,0,0,"0,0",0
"0,140",My my!! Shepherds Pie. Gain 6 energy,0,6,"0,0",0
"150,140",My my!! Shepherds Pie. Gain 6 energy,0,6,"0,0",0
"150,152",That place looked terrible but we found the pie,0,0,"0,0",0
"150,167",A Toad-In-the-Hole to restore energy,0,6,"0,0",0
"150,173",You got scared by a Twany Owl. Loose 4 energy,0,-4,"0,0",0
"150,183",Tie your shoes. Loose 3 energy,0,-3,"0,0",0
"150,192",Some Tea finally!,0,3,"0,0",0
"1,50",We are starting the quest on trees. We might find something interesting,0,0,"0,0",0
"1,100",We are starting the quest on trees. We might find something interesting,0,0,"0,0",0
"1,150",We are starting the quest on trees. We might find something interesting,0,0,"0,0",0
"15,50","Thats a koala, busy eating.",0,0,"0,0",0
"32,50",Lemur un-noticible. Thats a flying one.,0,0,"0,0",0
"72,50",Woodpecker the lumberjacks,0,0,"0,0",0
"102,50","I see a tree kangaroo, They climb??",0,0,"0,0",0
"123,50",Orangutan wants some food. We loose energy,0,-5,"0,0",0
"15,150","Thats a koala, busy eating.",0,0,"0,0",0
"32,150",Lemur un-noticible. Thats a flying one.,0,0,"0,0",0
"72,150",Woodpecker the lumberjacks,0,0,"0,0",0
"102,150","I see a tree kangaroo, They climb??",0,0,"0,0",0
"123,150",Orangutan wants some food. We loose energy,0,-5,"0,0",0
"15,100","Thats a koala, busy eating.",0,0,"0,0",0
"32,100",Lemur un-noticible. Thats a flying one.,0,0,"0,0",0
"72,100",Woodpecker the lumberjacks,0,0,"0,0",0
"102,100","I see a tree kangaroo, They climb??",0,0,"0,0",0
"123,100",Orangutan wants some food. We loose energy,0,-5,"0,0",0
"136,50","A scary Owl, looking at us. It's getting dark",0,0,"0,0",0
"136,100","A scary Owl, looking at us. It's getting dark",0,0,"0,0",0
"136,150","A scary Owl, looking at us. It's getting dark",0,0,"0,0",0
"4,50",It's hard to climb and slipped,0,0,"-2,0",0
"2,50","I never tried this, climb a tree like in Adventureland",0,0,"0,0",0
"17,50","A tree branch broke, back 3 places",0,-2,"-3,0",0
"14,50",We should be careful this branch looks weak,0,0,"0,0",0
"58,50","Slipped by a fungus, loose 5 places",0,0,"-5,0",0
"53,50","It looks slippery from here, careful",0,0,"0,0",0
"94,50",Back 14 places slipped from a big branch,0,0,"0,0",0
"90,50",There are lots of fruits to gather here,0,-4,"-14,0",0
"128,50",Looks dark from here. Look out for nocs,0,0,"0,0",0
"142,50","A bat on your, you fell on to ground",0,-6,"-142,0",0
"4,100",It's hard to climb and slipped,0,0,"-2,0",0
"2,100","I never tried this, climb a tree like in Adventureland",0,0,"0,0",0
"17,100","A tree branch broke, back 3 places",0,-2,"-3,0",0
"14,100",We should be careful this branch looks weak,0,0,"0,0",0
"58,100","Slipped by a fungus, loose 5 places",0,0,"-5,0",0
"53,100","It looks slippery from here, careful",0,0,"0,0",0
"94,100",Back 14 places slipped from a big branch,0,0,"0,0",0
"90,100",There are lots of fruits to gather here,0,-4,"-14,0",0
"128,100",Looks dark from here. Look out for nocs,0,0,"0,0",0
"142,100","A bat on your, you fell on to ground",0,-6,"-142,0",0
"4,150",It's hard to climb and slipped,0,0,"-2,0",0
"2,150","I never tried this, climb a tree like in Adventureland",0,0,"0,0",0
"17,150","A tree branch broke, back 3 places",0,-2,"-3,0",0
"14,150",We should be careful this branch looks weak,0,0,"0,0",0
"58,150","Slipped by a fungus, loose 5 places",0,0,"-5,0",0
"53,150","It looks slippery from here, careful",0,0,"0,0",0
"94,150",Back 14 places slipped from a big branch,0,0,"0,0",0
"90,150",There are lots of fruits to gather here,0,-4,"-14,0",0
"128,150",Looks dark from here. Look out for nocs,0,0,"0,0",0
"142,150","A bat on your, you fell on to ground",0,-6,"-142,0",0
"3,50",We can find lots of fruits and maximize our energy,0,0,"0,0",0
"7,50","There are some Aronia, Eat or Store",1,2,"0,0",0
"13,50",Apricots!! Told ya we can find fruits,0,2,"0,0",0
"21,50",I see Elderberries. Eat or Store?,1,2,"0,0",0
"28,50",Some plum for you,0,2,"0,0",0
"37,50",We might not find food on top. Lets store them,0,0,"0,0",0
"46,50","Those are Quince, do you how to eat it?",0,3,"-2,0",0
"48,50",Start storing them we need it for future,0,0,"0,0",0
"63,50",Some Prune for you. Eat or Store,1,3,"0,0",0
"71,50",Wild Cranberry!! This is what I was waiting for,0,3,"-5,0",0
"3,100",We can find lots of fruits and maximize our energy,0,0,"0,0",0
"7,100","There are some Aronia, Eat or Store",1,2,"0,0",0
"13,100",Apricots!! Told ya we can find fruits,0,2,"0,0",0
"21,100",I see Elderberries. Eat or Store?,1,2,"0,0",0
"28,100",Some plum for you,0,2,"0,0",0
"37,100",We might not find food on top. Lets store them,0,0,"0,0",0
"46,100","Those are Quince, do you how to eat it?",0,3,"-2,0",0
"48,100",Start storing them we need it for future,0,0,"0,0",0
"63,100",Some Prune for you. Eat or Store,1,3,"0,0",0
"71,100",Wild Cranberry!! This is what I was waiting for,0,3,"-5,0",0
"3,150",We can find lots of fruits and maximize our energy,0,0,"0,0",0
"7,150","There are some Aronia, Eat or Store",1,2,"0,0",0
"13,150",Apricots!! Told ya we can find fruits,0,2,"0,0",0
"21,150",I see Elderberries. Eat or Store?,1,2,"0,0",0
"28,150",Some plum for you,0,2,"0,0",0
"37,150",We might not find food on top. Lets store them,0,0,"0,0",0
"46,150","Those are Quince, do you how to eat it?",0,3,"-2,0",0
"48,150",Start storing them we need it for future,0,0,"0,0",0
"63,150",Some Prune for you. Eat or Store,1,3,"0,0",0
"71,150",Wild Cranberry!! This is what I was waiting for,0,3,"-5,0",0
"98,50","You seems to be tired, loose 1 energy",0,-1,"0,0",0
"133,50","You hit a branch, loose 3 energy",0,-3,"0,0",0
"106,50","Oxygen level is down, loose 5 energy",0,-5,"0,0",0
"57,50","Found a creeper, move 3 places",0,-2,"3,0",0
"78,50","Climb on a monkey back, move 4 places",0,0,"4,0",0
"84,50","Found a friendly gorilla, move 5 places",0,0,"5,0",0
"98,100","You seems to be tired, loose 1 energy",0,-1,"0,0",0
"133,100","You hit a branch, loose 3 energy",0,-3,"0,0",0
"106,100","Oxygen level is down, loose 5 energy",0,-5,"0,0",0
"57,100","Found a creeper, move 3 places",0,-2,"3,0",0
"78,100","Climb on a monkey back, move 4 places",0,0,"4,0",0
"84,100","Found a friendly gorilla, move 5 places",0,0,"5,0",0
"98,150","You seems to be tired, loose 1 energy",0,-1,"0,0",0
"133,150","You hit a branch, loose 3 energy",0,-3,"0,0",0
"106,150","Oxygen level is down, loose 5 energy",0,-5,"0,0",0
"57,150","Found a creeper, move 3 places",0,-2,"3,0",0
"78,150","Climb on a monkey back, move 4 places",0,0,"4,0",0
"84,150","Found a friendly gorilla, move 5 places",0,0,"5,0",0
